,"Journal Data Filtered By:  Selected JCR Year: 2013 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY' Selected Category Scheme: WoS",,,,Software and code in journals?,,,,,,,,,,,,,,
Rank,Full Journal Title,Society,Publisher,URL,Special Section?,Aims and Scope?,Author instructions?,Creation of software?,Require computer code with publication?,Require data release with publication?,Interactive graphs?,Types of interactive graphs,Additional content innovations…,Title of software section,Date software section started,Average number of software articles per year,Types of software,Languages of software?,Software is open source?
43,Fungal Ecology  - one of the most cited articles is open source software,The British Mycological Society,Elsevier,http://www.journals.elsevier.com/fungal-ecology/,No,0,0,0,No,Yes,No,,AudioSlides,,,,,,
44,WILDLIFE MONOGRAPHS ,The Wildlife Society,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291938-5455,No,0,19,0,No,No,No,,,,,,,,
45,BIOLOGICAL INVASIONS,,Springer,http://link.springer.com/journal/10530,No,0,2,0,No,No,No,,,,,,,,
46,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY ,(The Society for Freshwater Science),BioOne,http://www.bioone.org/toc/jnbs/29/1,No,0,1,1,No,Yes - only species distribution records,No,,,,,,,,
47,ECOLOGY AND SOCIETY,,The Resilience Alliance,http://www.ecologyandsociety.org,No,1,6,1,No,No,No,,,,,,,,
48,MARINE ECOLOGY PROGRESS SERIES,,Inter-Research,http://www.int-res.com/journals/meps/meps-home/,No,0,1,0,No,Yes- - only molecular and phylogenetic,No,,,,,,,,
49,Ecohydrology,,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291936-0592,No,0,0,0,No,No,No,,,,,,,,
50,LANDSCAPE AND URBAN PLANNING,,Elsevier,http://www.journals.elsevier.com/landscape-and-urban-planning/,No,0,4,0,No,No,Yes,Interactive Map Viewer,AudioSlides,,,,,,
51,Ecosphere ,Ecological Society of America,Ecological Society of America,http://www.esajournals.org/loi/ecsp,No,0,10,10,Yes,Yes,No,,,,,,,,
52,ANIMAL CONSERVATION ,The Zoological Society of London,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291469-1795,No,0,0,0,No,Yes - only sequence data,No,,,,,,,,
53,ECOLOGICAL ECONOMICS ,The International Society for Ecological Economics,Elsevier,http://www.journals.elsevier.com/ecological-economics/,No,0,2,0,No,No,No,,"AudioSlides, Database Linking Tool, PANGAEA Linked Data",,,,,,
54,ECOTOXICOLOGY,,Springer,http://www.springer.com/environment/journal/10646,No,0,2,0,No,No,No,,,,,,,,
55,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,Elsevier,http://www.journals.elsevier.com/journal-of-experimental-marine-biology-and-ecology/,No,0,2,0,No,No,No,,"AudioSlides, PANGAEA Linked Data",,,,,,
56,PALEOBIOLOGY ,The Paleontological Society,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=PAB,No,0,2,2,No,No,No,,,,,,,,
57,Bulletin of the Peabody Museum of Natural History,,,,,,,,,,,,,,,,,,
58,APPLIED VEGETATION SCIENCE ,International Association for Vegetation Science,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1654-109X,No,0,2,2,No (has software review editor),No - encouraged,No,,,,,,,,
59,BASIC AND APPLIED ECOLOGY ,"Ecological Society of Germany, Austria, and Switzerland",Elsevier,http://www.journals.elsevier.com/basic-and-applied-ecology/,No,0,3,0,No,Yes,No,,"AudioSlides, PANGAEA Linked Data",,,,,,
60,EVOLUTIONARY ECOLOGY,,Springer,http://link.springer.com/journal/10682,No,0,1,0,No,No,No,,,,,,,,
61,ECOLOGICAL MODELLING ,International Society of Ecological Modelling,Elsevier,http://www.journals.elsevier.com/ecological-modelling/,No,0,2,0,No,No - encouraged,Yes,Interactive Map Viewer,"AudioSlides, Database Linking Tool, PANGAEA Linked Data",,,,,,
62,Journal of Plant Ecology ,Botanical Society of China,Oxford Journals,http://jpe.oxfordjournals.org/,No,0,0,0,No,Yes - only sequence data,No,,,,,,,,
63,JOURNAL OF CHEMICAL ECOLOGY,,Springer,http://link.springer.com/journal/10886,Not Available - Link Broken,0,Not Available - Link Broken,Not Available - Link Broken,Not Available - Link Broken,Not Available - Link Broken,Not Available - Link Broken,,,,,,,,
64,EUROPEAN JOURNAL OF SOIL BIOLOGY,,Elsevier,http://www.journals.elsevier.com/european-journal-of-soil-biology/,No,0,2,0,No,No - encouraged,Yes,Interactive Map Viewer,"AudioSlides, PANGAEA Linked Data",,,,,,
65,BIOTROPICA ,The Association for Tropical Biology and Conservation,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7429,No,0,0,0,No,No,No,,,,,,,,
66,POLAR BIOLOGY,,Springer,http://link.springer.com/journal/300,No,0,2,0,No,No,No,,,,,,,,
67,BIODIVERSITY AND CONSERVATION,,Springer,http://link.springer.com/journal/10531,No,0,2,0,No,No,No,,,,,,,,
68,Ecological Complexity,,Elsevier,http://www.journals.elsevier.com/ecological-complexity/,No,0,3,0,No,No - encouraged,Yes,Interactive Map Viewer,"AudioSlides, PANGAEA Linked Data",,,,,,
69,RESTORATION ECOLOGY ,Society for Ecological Restoration,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291526-100X,No,0,0,0,No,No,No,,,,,,,,
70,Ecological Informatics,,Elsevier,http://www.journals.elsevier.com/ecological-informatics/,No,0,2,0,No,No - encouraged,No,,"AudioSlides, PANGAEA Linked Data",,,,,,
71,CHEMOECOLOGY,,Springer,http://link.springer.com/journal/49,No,0,2,0,No,No,No,,,,,,,,
72,ORYX ,Fauna & Flora International,Cambridge University Press,http://www.oryxthejournal.org/,No,0,3,0,No,No,No,,,,,,,,
73,AQUATIC MICROBIAL ECOLOGY,,Inter-Research,http://www.int-res.com/journals/ame/ame-home/,No,0,2,1,No,Yes - only sequence data,No,,,,,,,,
74,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,,Elsevier,http://www.journals.elsevier.com/acta-oecologica/,No,0,2,0,No,No - encouraged,No,,"AudioSlides, PANGAEA Linked Data",,,,,,
75,JOURNAL FOR NATURE CONSERVATION ,European Centre for Nature Conservation,Elsevier,http://www.journals.elsevier.com/journal-for-nature-conservation/,No,0,3,0,No,No - encouraged,No,,,,,,,,
76,JOURNAL OF ARID ENVIRONMENTS,,Elsevier,http://www.journals.elsevier.com/journal-of-arid-environments/,No,0,2,0,No,No - encouraged,Yes,Interactive Map Viewer,"AudioSlides, PANGAEA Linked Data",,,,,,
77,JOURNAL OF SOIL AND WATER CONSERVATION ,Soil and Water Conservation Society,Highwire,http://www.jswconline.org/,No,0,1,0,No,No,No,,,,,,,,
78,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,,Taylor & Francis,http://www.tandfonline.com/loi/tsdw20,No,0,1,0,No,No,No,,,,,,,,
79,URBAN ECOSYSTEMS,,Springer,http://link.springer.com/journal/11252,No,0,2,0,No,No,No,,,,,,,,
80,Theoretical Ecology,,Springer,http://link.springer.com/journal/12080,No,0,2,0,No,No,No,,,,,,,,
81,AUSTRAL ECOLOGY ,The Ecological Society of Australia,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-9993,No,0,0,0,No,No,No,,,,,,,,
82,POPULATION ECOLOGY,,Springer,http://link.springer.com/journal/10144,No,0,1,0,No,No,No,,,,,,,,
83,POLAR RESEARCH ,Norwegian Polar Institute,Wiley,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-8369,No,0,0,0,No,Yes,No,,,,,,,,
84,PEDOBIOLOGIA,,Elsevier,http://www.journals.elsevier.com/pedobiologia/,No,0,3,0,No,No - encouraged,Yes,Interactive Map Viewer,,,,,,,
85,Ecology and Evolution,,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2045-7758,No,0,7,1,No,Yes,No,,,,,,,,
86,PLANT ECOLOGY,,Springer,http://link.springer.com/journal/11258,No,0,2,0,No,No,No,,,,,,,,
87,JOURNAL OF WILDLIFE MANAGEMENT ,The Wildlife Society,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291937-2817,No,0,16,0,No,No,No,,"AudioSlides, Database Linking Tool",,,,,,
88,THEORETICAL POPULATION BIOLOGY,,Elsevier,http://www.journals.elsevier.com/theoretical-population-biology/,No,0,2,0,No,No - encouraged,No,,,,,,,,
89,ECOLOGICAL RESEARCH ,Ecological Society of Japan,Springer,http://link.springer.com/journal/11284,No,0,3,0,No,Yes - only sequence data,No,,,,,,,,
90,Rangeland Ecology & Management ,Society for Range Management,Society for Range Management,http://www.srmjournals.org/loi/rama,No,0,2,0,No,No,No,,,,,,,,
91,FLORA,,Elsevier,http://www.journals.elsevier.com/flora/,No,0,3,0,No,Yes,No,,,,,,,,
92,AQUATIC ECOLOGY,Dutch-Flemish Association for Ecology,Springer,http://link.springer.com/journal/10452,No,0,2,0,No,No - encouraged,No,,,,,,,,
